"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000026068","GRHL1","protein_coding",1,7.40587101000358,1.9972588974442e-13,7.0170362596873e-12
"ENSSSCG00000023539","MBOAT2","protein_coding",2,10.9775140576502,2.05404055206419e-13,7.19997746724702e-12
"ENSSSCG00000005975","MTSS1","protein_coding",2,13.2765705337445,2.11029653791971e-13,7.38024301808396e-12
"ENSSSCG00000036274",NA,"protein_coding",3,20.1913596728481,2.21935651293459e-13,7.74393278246104e-12
"ENSSSCG00000035658","VPS36","protein_coding",3,19.2667938650083,2.23374442532174e-13,7.77638178865425e-12
"ENSSSCG00000021891",NA,"protein_coding",1,6.61219910212369,2.29928773619251e-13,7.98636692550686e-12
"ENSSSCG00000051205","P2RX4","protein_coding",1,8.02967977532798,2.31784847254494e-13,8.03258009204179e-12
"ENSSSCG00000000691","COPS7A","protein_coding",6,28.9842282280119,2.34697964256114e-13,8.11513345639409e-12
"ENSSSCG00000003148","DBP","protein_coding",1,4.83548526394996,2.50477760848849e-13,8.64120004300892e-12
"ENSSSCG00000000807","SLC38A1","protein_coding",1,6.22540734854116,2.61126050356775e-13,8.98826447658243e-12
"ENSSSCG00000006233","CA8","protein_coding",2,16.0770911672532,2.69488657612067e-13,9.25527000962971e-12
"ENSSSCG00000013050","MARK2","protein_coding",2,13.9975546564621,2.71363563784346e-13,9.2987653482425e-12
"ENSSSCG00000028633","AMMECR1L","protein_coding",2,12.5579892440286,2.72720609844934e-13,9.30354705415207e-12
"ENSSSCG00000001639","TRERF1","protein_coding",2,10.3286957475487,2.72167429767512e-13,9.30354705415207e-12
"ENSSSCG00000017952","SAT2","protein_coding",2,9.56047290444335,2.79691863077473e-13,9.52011301428288e-12
"ENSSSCG00000017169","SEC14L1","protein_coding",1,7.84537985004501,2.8142310864221e-13,9.55775415417533e-12
"ENSSSCG00000037427","PTDSS2","protein_coding",1,7.32491148161799,2.9643344795783e-13,1.00452159315732e-11
"ENSSSCG00000006848","SLC25A24","protein_coding",1,7.27797432271566,2.99302073734963e-13,1.01199858249811e-11
"ENSSSCG00000015782","IRF2","protein_coding",4,15.9412944767718,3.1066947359871e-13,1.04580651211654e-11
"ENSSSCG00000000955","TBC1D22A","protein_coding",1,7.27886626760119,3.10370540001126e-13,1.04580651211654e-11
"ENSSSCG00000029212","GDE1","protein_coding",2,13.7845781949205,3.11418752882778e-13,1.04602479127637e-11
"ENSSSCG00000003473","CPLANE2","protein_coding",1,5.07255537415277,3.14727856470277e-13,1.05482145404281e-11
"ENSSSCG00000011434","PPM1M","protein_coding",1,6.26166908577032,3.21058124067131e-13,1.07368300002581e-11
"ENSSSCG00000011546","MTMR14","protein_coding",5,22.5903052464771,3.24392152294716e-13,1.08246403133628e-11
"ENSSSCG00000011212","RARB","protein_coding",1,7.4445519386089,3.39151394786666e-13,1.1292485330119e-11
"ENSSSCG00000010059","GUCD1","protein_coding",4,20.4530090662344,3.43086526533744e-13,1.13986769239461e-11
"ENSSSCG00000026383","NRP2","protein_coding",2,10.1167224283467,3.44609956459829e-13,1.14244554546108e-11
"ENSSSCG00000012689","ZNF75D","protein_coding",2,12.8862466979664,3.56959219276356e-13,1.18034192435037e-11
"ENSSSCG00000017624","CUEDC1","protein_coding",1,7.87967677218251,3.57585756051968e-13,1.18034192435037e-11
"ENSSSCG00000060236","CBX7","protein_coding",1,4.77887948695547,3.64523472659607e-13,1.20064918807258e-11
"ENSSSCG00000013634","YIPF2","protein_coding",3,19.4642758424131,3.6793679394051e-13,1.20928559608448e-11
"ENSSSCG00000015944","TLK1","protein_coding",3,14.445779161261,3.68877427374571e-13,1.2097754769454e-11
"ENSSSCG00000011448","GLT8D1","protein_coding",2,13.0485957669574,3.71066931104391e-13,1.21435030151358e-11
"ENSSSCG00000004457","DOP1A","protein_coding",2,13.7154899552542,3.78145089465631e-13,1.23223697277254e-11
"ENSSSCG00000013124","PATL1","protein_coding",3,15.619966866141,3.77449396562278e-13,1.23223697277254e-11
"ENSSSCG00000001709","SUPT3H","protein_coding",2,10.2600108027462,3.83434318481757e-13,1.24681418922483e-11
"ENSSSCG00000002526","RCOR1","protein_coding",1,7.36569166543155,3.84899261074255e-13,1.24892046857703e-11
"ENSSSCG00000014791","RRM1","protein_coding",2,14.5846149543491,4.07123945218735e-13,1.31405776601131e-11
"ENSSSCG00000031261","RHOQ","protein_coding",1,6.17367092037487,4.07553085840059e-13,1.31405776601131e-11
"ENSSSCG00000016970",NA,"protein_coding",4,14.5044212924449,4.06546369079273e-13,1.31405776601131e-11
